Datum;Landkreis;Einheit;Anzahl
28.01.2020;Landsberg am Lech;neu_infiziert;1
28.01.2020;Starnberg;neu_infiziert;3
30.01.2020;Traunstein;neu_infiziert;1
31.01.2020;Traunstein;neu_infiziert;1
31.01.2020;Fürstenfeldbruck;neu_infiziert;1
01.02.2020;München Stadt;neu_infiziert;1
03.02.2020;Traunstein;neu_infiziert;1
03.02.2020;Starnberg;neu_infiziert;1
06.02.2020;Traunstein;neu_infiziert;1
07.02.2020;Starnberg;neu_infiziert;1
11.02.2020;Starnberg;neu_infiziert;2
17.02.2020;Traunstein;genesen;4
17.02.2020;Starnberg;genesen;3
17.02.2020;Starnberg;genesen;2
17.02.2020;Fürstenfeldbruck;genesen;1
18.02.2020;Landsberg am Lech;genesen;1
21.02.2020;München Stadt;genesen;1
21.02.2020;Starnberg;genesen;1
27.02.2020;Starnberg;genesen;1
27.02.2020;Erlangen Stadt;neu_infiziert;1
29.02.2020;München Stadt;neu_infiziert;1
29.02.2020;Ebersberg;neu_infiziert;1
29.02.2020;Rosenheim;neu_infiziert;1
01.03.2020;Freising;neu_infiziert;1
01.03.2020;Ostallgäu;neu_infiziert;1
01.03.2020;Starnberg;neu_infiziert;1
01.03.2020;Nürnberg Stadt;neu_infiziert;1
02.03.2020;München Stadt;neu_infiziert;3
02.03.2020;Roth/Schwabach;neu_infiziert;1
02.03.2020;Freising;neu_infiziert;6
02.03.2020;Ostallgäu;neu_infiziert;1
02.03.2020;Bayreuth;neu_infiziert;2
03.03.2020;Passau;neu_infiziert;1
04.03.2020;München Stadt;neu_infiziert;4
04.03.2020;Freising;neu_infiziert;7
04.03.2020;Ostallgäu;neu_infiziert;1
04.03.2020;Nürnberg Stadt;neu_infiziert;2
04.03.2020;Passau;neu_infiziert;1
04.03.2020;Augsburg;neu_infiziert;2
04.03.2020;Lindau (Bodensee);neu_infiziert;2
04.03.2020;Erding;neu_infiziert;1
05.03.2020;München Stadt;neu_infiziert;5
05.03.2020;München;neu_infiziert;1
05.03.2020;Roth/Schwabach;neu_infiziert;1
05.03.2020;Freising;neu_infiziert;3
05.03.2020;Starnberg;neu_infiziert;1
05.03.2020;Erlangen Stadt;neu_infiziert;4
05.03.2020;Nürnberg Stadt;neu_infiziert;1
05.03.2020;Würzburg;neu_infiziert;2
05.03.2020;Miesbach;neu_infiziert;2
05.03.2020;Neu-Ulm;neu_infiziert;2
05.03.2020;Aichach-Friedberg;neu_infiziert;1
05.03.2020;unbekannt;neu_infiziert;1
05.03.2020;Neustadt a.d. Aisch-Bad Windsheim;neu_infiziert;3
05.03.2020;Weilheim-Schongau;neu_infiziert;1
05.03.2020;Oberallgäu;neu_infiziert;1
05.03.2020;Amberg-Sulzbach;neu_infiziert;1
05.03.2020;Bad Kissingen;neu_infiziert;1
06.03.2020;Nürnberg Stadt;neu_infiziert;4
06.03.2020;unbekannt;neu_infiziert;1
06.03.2020;Passau;neu_infiziert;1
06.03.2020;Ebersberg;neu_infiziert;3
06.03.2020;Freising;neu_infiziert;3
06.03.2020;Miesbach;neu_infiziert;1
06.03.2020;München Stadt;neu_infiziert;11
06.03.2020;Augsburg;neu_infiziert;1
06.03.2020;Oberallgäu;neu_infiziert;1
06.03.2020;Würzburg;neu_infiziert;3
07.03.2020;Nürnberg Stadt;neu_infiziert;1
07.03.2020;Nürnberger Land;neu_infiziert;1
07.03.2020;Ebersberg;neu_infiziert;3
07.03.2020;Erding;neu_infiziert;1
07.03.2020;Freising;neu_infiziert;2
07.03.2020;Miesbach;neu_infiziert;1
07.03.2020;München;neu_infiziert;4
07.03.2020;Starnberg;neu_infiziert;2
07.03.2020;Weilheim-Schongau;neu_infiziert;2
07.03.2020;Ingolstadt;neu_infiziert;1
07.03.2020;Amberg-Sulzbach;neu_infiziert;2
07.03.2020;Cham;neu_infiziert;2
07.03.2020;Regensburg;neu_infiziert;1
07.03.2020;Donau-Ries;neu_infiziert;2
07.03.2020;Lindau (Bodensee);neu_infiziert;2
07.03.2020;Augsburg Stadt;neu_infiziert;1
07.03.2020;Hof;neu_infiziert;1
07.03.2020;Würzburg;neu_infiziert;2
08.03.2020;Augsburg;neu_infiziert;1
08.03.2020;Augsburg;neu_infiziert;1
08.03.2020;Oberallgäu;neu_infiziert;3
08.03.2020;Freising;neu_infiziert;6
08.03.2020;Starnberg;neu_infiziert;2
08.03.2020;Dachau;neu_infiziert;3
08.03.2020;Pfaffenhofen a.d.Ilm;neu_infiziert;1
08.03.2020;Garmisch-Partenkirchen;neu_infiziert;1
08.03.2020;Rosenheim;neu_infiziert;1
08.03.2020;München Stadt;neu_infiziert;32
08.03.2020;unbekannt;neu_infiziert;3
08.03.2020;München;neu_infiziert;4
08.03.2020;Regensburg;neu_infiziert;2
08.03.2020;Schwandorf;neu_infiziert;1
08.03.2020;Dingolfing-Landau;neu_infiziert;1
08.03.2020;Kelheim;neu_infiziert;1
08.03.2020;unbekannt;neu_infiziert;4
09.03.2020;Aschaffenburg;neu_infiziert;1
09.03.2020;Cham;neu_infiziert;6
09.03.2020;Donau-Ries;neu_infiziert;1
09.03.2020;Ebersberg;neu_infiziert;4
09.03.2020;Erlangen Stadt;neu_infiziert;4
09.03.2020;Freising;neu_infiziert;3
09.03.2020;Fürstenfeldbruck;neu_infiziert;2
09.03.2020;Kelheim;neu_infiziert;1
09.03.2020;Landsberg am Lech;neu_infiziert;1
09.03.2020;Lindau (Bodensee);neu_infiziert;1
09.03.2020;Main-Spessart;neu_infiziert;1
09.03.2020;Miesbach;neu_infiziert;1
09.03.2020;München;neu_infiziert;5
09.03.2020;Nürnberg Stadt;neu_infiziert;3
09.03.2020;Oberallgäu;neu_infiziert;2
09.03.2020;Ostallgäu;neu_infiziert;1
09.03.2020;Regensburg;neu_infiziert;1
09.03.2020;Rosenheim;neu_infiziert;1
09.03.2020;Würzburg;neu_infiziert;8
10.03.2020;Augsburg;neu_infiziert;12
10.03.2020;Bayreuth;neu_infiziert;2
10.03.2020;Erlangen Stadt;neu_infiziert;6
10.03.2020;Freising;neu_infiziert;19
10.03.2020;Fürstenfeldbruck;neu_infiziert;1
10.03.2020;Fürth;neu_infiziert;7
10.03.2020;Landshut;neu_infiziert;1
10.03.2020;München Stadt;neu_infiziert;5
10.03.2020;Neumarkt i.d.Opf.;neu_infiziert;2
10.03.2020;Neustadt a.d. Aisch-Bad Windsheim;neu_infiziert;1
10.03.2020;Nürnberg Stadt;neu_infiziert;1
10.03.2020;Ostallgäu;neu_infiziert;1
10.03.2020;Pfaffenhofen a.d.Ilm;neu_infiziert;1
10.03.2020;Rottal-Inn;neu_infiziert;1
10.03.2020;Starnberg;neu_infiziert;1
11.03.2020;Aichach-Friedberg;neu_infiziert;1
11.03.2020;Augsburg;neu_infiziert;10
11.03.2020;Augsburg Stadt;neu_infiziert;3
11.03.2020;Bad Kissingen;neu_infiziert;2
11.03.2020;Bad Tölz-Wolfratshausen;neu_infiziert;1
11.03.2020;Dachau;neu_infiziert;2
11.03.2020;Deggendorf;neu_infiziert;1
11.03.2020;Dingolfing-Landau;neu_infiziert;2
11.03.2020;Ebersberg;neu_infiziert;2
11.03.2020;Erding;neu_infiziert;1
11.03.2020;Garmisch-Partenkirchen;neu_infiziert;1
11.03.2020;Kelheim;neu_infiziert;1
11.03.2020;Kitzingen;neu_infiziert;1
11.03.2020;Lindau (Bodensee);neu_infiziert;1
11.03.2020;Miesbach;neu_infiziert;1
11.03.2020;München Stadt;neu_infiziert;3
11.03.2020;Nürnberg Stadt;neu_infiziert;1
11.03.2020;Oberallgäu;neu_infiziert;1
11.03.2020;Pfaffenhofen a.d.Ilm;neu_infiziert;1
11.03.2020;Regensburg;neu_infiziert;3
11.03.2020;Rosenheim;neu_infiziert;4
11.03.2020;Rottal-Inn;neu_infiziert;1
11.03.2020;Schwandorf;neu_infiziert;1
11.03.2020;Starnberg;neu_infiziert;4
11.03.2020;Straubing-Bogen;neu_infiziert;1
11.03.2020;Tirschenreuth;neu_infiziert;1
11.03.2020;Würzburg;neu_infiziert;2
12.03.2020;Aichach-Friedberg;neu_infiziert;1
12.03.2020;Augsburg Stadt;neu_infiziert;1
12.03.2020;Bad Tölz-Wolfratshausen;neu_infiziert;1
12.03.2020;Bamberg;neu_infiziert;1
12.03.2020;Cham;neu_infiziert;9
12.03.2020;Coburg;neu_infiziert;1
12.03.2020;Dachau;neu_infiziert;2
12.03.2020;Dingolfing-Landau;neu_infiziert;2
12.03.2020;Donau-Ries;neu_infiziert;3
12.03.2020;Forchheim;neu_infiziert;1
12.03.2020;Freising;neu_infiziert;6
12.03.2020;Fürstenfeldbruck;neu_infiziert;2
12.03.2020;Fürth;neu_infiziert;1
12.03.2020;Hof Stadt;neu_infiziert;1
12.03.2020;Landsberg am Lech;neu_infiziert;1
