"name","28.01.2020","30.01.2020","31.01.2020","01.02.2020","03.02.2020","06.02.2020","07.02.2020","11.02.2020","27.02.2020","29.02.2020","01.03.2020","02.03.2020","03.03.2020","04.03.2020","05.03.2020","06.03.2020","07.03.2020","08.03.2020"
"Landsberg am Lech",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Starnberg",3,3,3,3,4,4,5,7,7,7,8,8,8,8,9,9,11,17
"Traunstein",0,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4
"Fürstenfeldbruck",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"München Stadt",0,0,0,1,1,1,1,1,1,2,2,5,5,9,14,25,25,60
"Erlangen",0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5,5,5
"Ebersberg",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,7,7
"Rosenheim",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2
"Freising",0,0,0,0,0,0,0,0,0,0,1,7,7,14,17,20,22,28
"Ostallgäu",0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3
"Nürnberg Stadt",0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,8,9,9
"Roth",0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2
"Bayreuth",0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
"Passau",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3
"Augsburg",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4
"Lindau (Bodensee)",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4
"Erding",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2
"München",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9
"Würzburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,7
"Miesbach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4
"Neu-Ulm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
"Aichach-Friedberg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Erlangen-Höchstadt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
"Neustadt a.d. Aisch-Bad Windsheim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
"Weilheim-Schongau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3
"Oberallgäu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5
"Amberg-Sulzbach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3
"Bad Kissingen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Nürnberger Land",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Ingolstadt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Cham",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Regensburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"Donau-Ries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Augsburg Stadt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Hof",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Dachau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Pfaffenhofen a.d. Ilm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Garmisch-Partenkirchen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Schwandorf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Dingolfing-Landau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
